,Unnamed: 0.1,Unnamed: 0,company,title,description,salary,tags,location,labels,link,index
10,10,8,Magic Data,AI Solutions Engineer,"We are looking for an AI Solutions Engineer to provide professional AI solutions to overseas customers. As an AI Solutions Engineer, you play a vital role in the growth and development of new and existing customer relationships. One of your main responsibilities is to act as a liaison between customers and our AI data team, focusing on facilitating a smooth purchasing process. Job Responsibilities: 1. Sell data set products and data service solutions; 2. Build, develop and manage customer relationships; 3. Facilitate the purchase process with each customer; 4. Develop and implement effective sales strategies for new customers, including cold calls and on-site customer visits; 5. Provide technical support to customers; 6. Communicate with customers regularly to discuss their specific needs, make suggestions, and solve service problems; 7. Work with data project managers and engineers to help define project requirements; Job Requirements: 1. Bachelor's degree or above in artificial intelligence or other fields; 2. 1 year or more of work experience in the artificial intelligence industry, fluent in English; 3. Knowledge of artificial intelligence and familiarity with data; 4. Excellent written, oral communication and public speaking skills (including but not limited to Chinese and English); 5. Excellent organizational skills and time management skills; About Magic Data Beijing Qingshu Wisdom Technology Co., Ltd. (Magic Data) is mainly engaged in the collection and annotation services of artificial intelligence data services and the sales of data sets. The company is headquartered in Beijing, has a data processing center in China, and a wholly-owned subsidiary in Hong Kong. Magic Data is committed to providing customers with multi-dimensional, high-precision and reliable data. The data revolves around five forward-looking dimensions: coverage, multidimensionality, timeliness, high accuracy and regulatory compliance characteristics to ensure the overall needs of customers for structured data. Magic Data has contractors covering 50 major languages ​​used around the world. Our major customers include but are not limited to corporate groups around the world, including insurance finance, AIoT, social media and electric vehicle manufacturers.",15-30K,"['Beijing', '1-3 years', 'Undergraduate']","Room 501, 5th Floor, Building G, Haidian Cultural and Educational Industrial Park, Haidian District, Beijing","['Deep learning', 'Speech algorithm', 'Big data processing tools (Spark/Hadoop/Hive)', 'Algorithm engineering experience']",https://www.zhipin.com/job_detail/4538a83dfcaa9fe21XB529S_GVNW.html,
11,11,11,Magic Data,Project Manager/Project Supervisor,"Job content: 1. Manage the project team, ensure the normal operation of the team, coordinate and solve problems in the project and the work of the project manager and team leader. 2. Ensure the delivery of all task types. 3. Ensure that the delivery of all task annotation data (intra-group delivery efficiency and quality pass rate) meets project requirements. 4. Improve the cohesion of the jurisdiction team. Job requirements: 1) Bachelor degree or above, with team management experience. 2) Have good professional ethics and professional conduct, good at communication and coordination, good teamwork awareness, high sensitivity and certain judgment ability. 3) Strong sense of responsibility, meticulous and conscientious work, organized and thoughtful, able to calmly deal with emergencies and properly report and coordinate. Note: This position is more management-oriented and the work location is Luoyang. Bonus points include experience in the following industries: Big data·Internet·Communication/network equipment",4-6K,"['Luoyang', '1-3 years', 'Undergraduate']","Room 905, Building 6, Area A, Luoyang Hengsheng Technology Park, Luolong District, Luoyang","['Responsibility', 'Experience in medium and large software project management', 'Team management', 'Non-technical project management', 'Experience in big data project management']",https://www.zhipin.com/job_detail/35bffd88b359b2551XB839W6ElRT.html,
12,12,14,Magic Data,ASR Project Intern,"Job Description: 1. Assist in the organization and coordination of all aspects of the voice TTS annotation project. 2. Assist in docking projects with customers, understand project requirements, sort out specifications, and conduct training management. 3. Follow up on project progress and answer questions from annotators. 4. Quality inspection and acceptance of annotators' output data to meet the quality and duration requirements of the project 5. Monthly statistics of workload and completion of project settlement. Job Requirements: 1. Bachelor degree or above, excellent English, and English communication skills are preferred. 2. Excellent text reading comprehension skills and sensitive thinking. 3. Good stress resistance, optimistic, positive, strong self-motivation and career development plan, and good at communicating with people. 4. Proficient in using office software such as excel and word, and have a fast learning ability for new tools. 5. Good professional ethics and professional conduct, good at communication and coordination, and good sense of teamwork.",190-200 Yuan/day,"['Beijing', '4 days/week 2 months', 'Education not limited']","Room 501, 5th Floor, Building G, Haidian Cultural and Educational Industrial Park, Haidian District, Beijing","['Part-time job', 'Office job']",https://www.zhipin.com/job_detail/e3994119f412c77b1X1_29i-EVBY.html,
13,13,16,Magic Data,Dialect Acceptance Intern,"1. Acceptance of Minnan dialect and Shaanxi Xi'an dialect 2. At least 2 people are required 3. Mainly to check whether the text and audio are consistent 4. Careful and responsible are preferred 5. Start time: Start this week, at least 3-4 days a week",170-180 yuan/day,"['Beijing', '3 days/week 2 months', 'Education not limited']","Room 501, 5th Floor, Building G, Haidian Cultural and Educational Industrial Park, Haidian District, Beijing",['part time'],https://www.zhipin.com/job_detail/096fcc83839fe3d21XJ52d24ElFT.html,
14,14,18,Magic Data,ASR Project Manager,"Job responsibilities: 1) Confirm project requirements, formulate project plans, control project duration and quality, do a good job in project data quality management and avoid risks, and do a good job in progress reports; 2) Do a good job in internal and cross-departmental coordination and communication, and do a good job in project expansion and execution optimization; 3) Maintain old customers and internal team management; 4) Formulate salary settlement, reimbursement and final accounts for project implementation and do a good job in resource accumulation; 5) Optimize project processes and effectively improve the project capacity of team members. Qualifications: 1) Bachelor degree or above; 2) More than 2 years of relevant work experience, management experience is preferred; 4) Have good professional ethics and professional conduct, good at communication and coordination, good teamwork awareness, high sensitivity and certain judgment ability; 5) Strong sense of responsibility, meticulous and conscientious work, organized, careful and thoughtful, able to calmly respond to emergencies and properly report and coordinate; We have a technical team with super coding power, an experienced sales team, and a professional and reliable project team; We provide seven insurances and one housing fund, additional commercial supplementary medical insurance, accidental injury insurance; Snacks and drinks, interesting team building activities, flexible working hours, comfortable office environment, and holiday benefits are provided every day. If you are interested in artificial intelligence and high technology, if you pursue excellence, simplicity and reliability, if you are full of entrepreneurial mentality and smart and tough, please join us!",11-18K,"['Beijing', '1-3 years', 'Undergraduate']","Room 501, 5th Floor, Building G, Haidian Cultural and Educational Industrial Park, Haidian District, Beijing","['Audio', 'ASR', 'Speech']",https://www.zhipin.com/job_detail/4a0574ea3e8e872e1Xd_39i1EFBY.html,
15,15,0,Data Hall,Operations Engineer,"Job Description: Responsible for and participate in the deployment, operation and maintenance of the company's platform, database and various middleware, involving multiple scale servers, ensuring server stability and availability. Job Requirements: 1. Proficient in the configuration, management and optimization of the Linux operating system, and able to independently troubleshoot and solve various problems at the operating system layer; 2. Master the deployment of nginx, kafka, zabbix, docker, MongoDB, zookeeper, Samba, etc., and have practical deployment experience; 3. Familiar with MySQL database maintenance; 4. Can write simple Python scripts, understand Java, and have good system performance optimization and troubleshooting capabilities; 5. Assist in writing project-related documents; 6. Assist the project manager to complete project management work and promote project acceptance; 7. This position requires business travel;",7-10K,"['Hefei', '1-3 years', 'College']","12th Floor, Artificial Intelligence Building, Building D, Phase IV, International E-commerce Industrial Park, Shushan District, Hefei","['Linux', 'Python', 'Java', 'Server Configuration', 'Container Technology', 'Distributed Technology', 'Nginx', 'Docker']",https://www.zhipin.com/job_detail/dd888fa0f8d483df1nZ83N21GFVQ.html,
16,16,3,Data Hall,Marking quality inspector,"1. Proficient in the rules of various data annotation projects and the use of annotation tools, and be able to complete the annotation work of various projects with high quality according to the specific requirements of the project; 2. Record and feedback the problems in the annotation process, adjust the annotation method and improve the annotation rules according to the opinions and acceptance results of the demander; 3. Responsible for the splitting and release of data annotation tasks, monitor the progress of the project and production efficiency, timely report the progress and maintain relevant data reports; 4. Merge or organize the annotation results as required, and analyze the annotation results and acceptance opinions; 5. Regularly summarize, and propose optimization suggestions for the annotation platform or project efficiency improvement plans based on your own experience and user feedback; 6. Complete the delivery of qualified data within the required period and be responsible for the results. Job requirements: 1. Have experience in 3D point cloud annotation, be sensitive to specific content, images and other data, and be able to identify the classification characteristics of data content; 2. Be able to complete the effect evaluation of each model according to specific standards; 3. Those with data annotation experience and understanding of the basic principles of machine learning are preferred, and those who have been exposed to and learned Linux system related commands are preferred; 4. Actively learn, communicate smoothly, and be able to quickly and proficiently master various discrimination standards; 5. Full-time college degree or above.",3-4K,"['Baoding', 'Experience not limited', 'College degree']",Baoding Lianchi District Baoding Lianchi District Double Innovation Base,"['Full-time job', 'Annotation method optimization', 'Annotation result spot check', 'Annotation result sorting', 'Image annotation', 'Text annotation', 'Region annotation', 'Point annotation', 'Classification annotation', 'Strong data analysis ability']",https://www.zhipin.com/job_detail/5c09df711f4adb491XJz3dm1FVFY.html,
17,17,6,Data Hall,Sales Manager(Shenzhen),"What you can gain: Welcome to the Data Hall sales team. If you successfully join us, you will receive systematic industry knowledge training and sales system training, and competitive salary: base salary (8-15k) + sales commission (10-40w). If you are good enough, you can also challenge higher commissions and multiple salary increases. Data Hall has a group of sincere, smart, positive and enthusiastic partners who are committed to realizing the development vision of ""supporting AI with data and changing the world with intelligence"". Provide customers with professional, high-quality, safe and compliant data services, empower artificial intelligence applications, drive industry upgrades, and develop together with companies in the field of AI data. We provide you with: 1. A better working atmosphere, flat management, a passionate and energetic team, and various holiday benefits full of humanistic care and happiness; 2. Better growth opportunities, a full-range training system, new employee training, regular sharing sessions, and an open Data Hall knowledge base to safeguard your growth; 3. Five insurances and one fund, accident insurance, supplementary medical insurance (covering spouse and children), physical examinations, and many group activities are paid upon joining the company; 4. Two days off for statutory holidays, paid annual leave, sick leave, marriage leave, maternity leave, breastfeeding leave, and adjusted leave are all available. Your job content: 1. Develop the domestic artificial intelligence big data market and develop new customers; 2. Sales work related to the company's business products, and participate in the negotiation and signing of contracts; 3. Maintain existing old customer relationships, explore customer needs, and promote new orders; 4. Understand customer status, and update, maintain, and analyze customer data in a timely manner; 5. Responsible for the tracking and delivery of customer orders, and handle after-sales issues. We need you: 1. Full-time undergraduate degree or above; graduates from 985/211 universities are preferred; 2. Familiar with the Internet data industry, good image, good temperament, high acceptance of new things, and strong learning ability; 3. Work or internship experience in artificial intelligence, big data and other industries is preferred; 4. Good expression ability, serious and down-to-earth work, good at thinking and summarizing, and motivated; 5. Strong sales development ability and a certain ability to withstand pressure.",10-15K,"['Shenzhen', '1-3 years', 'Undergraduate']","Mirui Space, 10th Floor, Building 3, Xunmei Technology Plaza, Nanshan District, Shenzhen","['Face-to-face sales/cold call', 'Software/Enterprise service products', 'Sales experience to enterprises/institutions (To B)', 'Enterprise services', 'Enterprise (To B)', 'Face-to-face sales/cold call experience', 'Internet/Technology']",https://www.zhipin.com/job_detail/58e690af9cb42c091XV639W1GFNW.html,
18,18,9,Data Hall,Voice Project Manager (Pre-sales),"Job responsibilities: 1. Sort out project specifications, statistically analyze project evaluation and implementation efficiency ratio, and participate in the implementation of some projects; 2. Responsible for AI data collection, efficiency and cost evaluation of annotation projects, trial production and technical solutions and other related work; 3. Good at multi-type voice or video data collection such as reading, dialogue, conference, dialect, foreign language, etc., good at multi-type voice and video annotation, including audio segmentation, text transcription, role annotation, time annotation, etc.; 4. Have experience in text data collection, including information extraction, entity relationship annotation, text generalization, question and answer annotation, etc.; 5. Have experience in point cloud data collection; 6. Participate in project review and archiving of project materials. Qualifications: 1. Bachelor degree or above, English level 6; 2. Have strong overall coordination ability, work meticulously, conscientiously and responsibly; 3. Have good stress resistance and quick response ability; 4. Have more than 2 years of experience in executing or being responsible for the implementation of the above types of projects alone. 5. Basic salary 10-15, with corresponding commissions based on the evaluation results.",12-18K,"['Beijing', '1-3 years', 'Undergraduate']","1st-4th Floor, Datatang (Beijing) Technology Co., Ltd., Haidian District, Beijing","['Full-time job', 'Data annotation', 'Video annotation', 'Text annotation']",https://www.zhipin.com/job_detail/4aa28b7728021fa61Xx82du8E1pV.html,
19,19,12,Data Hall,"Part-time French in Quebec, Canada","Work cycle: long-term part-timeWorking period per week: 2-3 daysWorking hours: unlimitedWorking period: unlimitedSettlement method: settlement after completionRecruitment deadline: 2024-07-12Part-time job: Online quality inspection of Quebec French. Job content: 1. According to the specifications, transcribe the voice content into language text2. According to the specifications, intercept the voice into sentences to judge the noise, effectiveness and other attributes, and operate according to the specifications. Job requirements: 1. The accuracy of the transcribed words must be 98% or above2. The accuracy of the label attributes must reach 85% or aboveWorking hours: flexible and you can work according to your own time every day. You can work part-time online at home and use the company platform for training.Salary: 120 yuan/effective hourSettlement method: Settlement on a monthly basis based on the data accepted by the customer",120-150 yuan/hour,"['Shenzhen', 'Experience not limited', 'College degree']","Room 803, Building 3, Phase II, Sunshine Yuehai Garden, No. 3818, Baishi Road, Yuegui Community, Yuehai Street, Nanshan District, Shenzhen, Guangdong Province",['part time'],https://www.zhipin.com/job_detail/9d47c1baf2efd3051HF83tu9EVdV.html,
20,20,15,Data Hall,Data Annotation Project Manager,"Welcome to the Data Hall project management team. If you successfully join us, you will receive systematic industry knowledge training and project system training. If you are good enough, you can also challenge the ""project manager-senior project manager-project team supervisor-project director"" promotion system and get multiple salary increases. Data Hall has a group of sincere, smart, active and enthusiastic partners who are committed to realizing the development vision of ""supporting AI with data and changing the world with intelligence"". Provide customers with professional, high-quality, safe and compliant data services, empower artificial intelligence applications, drive industry upgrades, and develop together with the company in the field of AI data. We provide you with: 1. A better working atmosphere, flat management, enthusiastic and energetic team, and various holiday benefits full of humanistic care and happiness; 2. Better growth opportunities, a full-range training system, new employee training, regular sharing sessions, and an open Data Hall knowledge base to escort your growth; 3. Five insurances and one housing fund, accident insurance, supplementary medical insurance (covering spouse and children), physical examinations, and many group activities are paid upon joining the company; 4. Double statutory holidays, paid annual leave, sick leave, marriage leave, maternity leave, breastfeeding leave, and adjusted leave are all enjoyed. Your job description: 1. Confirm project requirements, develop project plans, and prepare project budgets; 2. Control project costs and progress to ensure project quality; 3. Do a good job of communication and coordination during the project, and promptly resolve problems that arise during the project; 4. Follow up on customer feedback, complete project acceptance and project summary; 5. Team training and management. We need you: 1. College degree or above, computer or management major, at least one year of project management experience; 2. Good communication and execution skills, flexible mind and sense of responsibility, strong learning ability, and able to withstand certain work pressure; 3. Good logical ability and sensitivity to data, good at summarizing and analyzing; 4. Preference will be given to those with experience in AI data collection and labeling, and preference will be given to those with PMP certificates. Bonus points include experience in the following industries: Big Data",7-12K,"['Baoding', '1-3 years', 'College']","Building 3, Diangu Technology Center, Jingxiu District, Baoding","['Non-technical project management', 'Computer-related majors', 'Experience in medium-to-large software project management', 'Team management experience', 'PMP', 'English communication', 'Minority languages', 'Foreign languages']",https://www.zhipin.com/job_detail/1765532f7c4130f91XR53Nm0GVVR.html,
21,21,18,Data Hall,Project Manager (Artificial Intelligence),"Job Responsibilities: 1. Responsible for the planning, competitive product analysis and design of the application products of the designated target industry, organizing the planning, implementation and release of a series of product promotion materials; 2. Responsible for the pre-sales technical support of the project, completing pre-sales consultation, solution design, tender document preparation, bidding and response; 3. Assist sales in pre-sales technical explanations, technical exchanges, product demonstrations, bidding Q&A and technical clarification for customers; 4. Do a good job in user communication, demand collation, information sharing, technical coordination and other work, and assist product and R&D in project planning and organization and implementation. Qualifications: 1. Have excellent document editing skills, and be able to independently complete the writing of product solutions, tender documents and other documents; 2. Have good expression, communication and coordination skills, analysis and problem-solving skills, and project control skills 3. Have relevant experience in deployment and implementation, and be familiar with the basic use of mainstream operating systems such as Windows, Linux, and Unix 4. Be proficient in the basic operation of databases such as MySQL, SQL server, and Oracle; understand middleware such as Tomcat. 5. Can accept long-term business trip arrangements.",7-10K,"['Hefei', '1-3 years', 'College']","12th Floor, Artificial Intelligence Building, Building D, Phase IV, International E-commerce Industrial Park, Shushan District, Hefei",['Project Manager'],https://www.zhipin.com/job_detail/fa852ad13b6691ff1nZ92t-_EFFQ.html,
22,22,0,MindFlow,Key Account Sales Assistant,"[Job Responsibilities] 1. Customer relationship management, establish and maintain long-term cooperative relationships with customers, and promote customer renewal and additional purchases by providing high-value services; 2. Accurately identify and understand customer needs, and collect and analyze customer needs and feedback to form solutions; 3. Daily maintenance of customers, including consulting follow-up, problem handling, training and improvement, knowledge base summary and other support services; 4. Establish customer files, gain insight into the customer life cycle, and provide corresponding support for customers at different stages; 5. Organize and update technical manuals and other implementation documents, organize, mine and publicize typical customer cases. [Job Requirements] 1. Full-time unified enrollment with a bachelor's degree or above, 1-3 years of B-side business experience, those with autonomous driving background and customer success experience are preferred; 2. Clear thinking, strong logic, goal orientation, strong learning ability and research spirit; 3. Have keen market insight, good at discovering and analyzing industries, and understand industry development trends; 4. Be passionate about work and have an entrepreneurial spirit, and be able to withstand the pressure of rapid business expansion.",10-15K · 15 salary,"['Beijing', '1-3 years', 'Undergraduate']","Room 815, Building 1A, Block 1A, Wangjing SOHO T1A, Chaoyang District, Beijing","['Internet/Tech', 'Automobile', 'Communication Skills', 'Enterprise (To B)', 'Assist in developing new customers', 'Assist in maintaining customer relationships', 'Sales experience to institutions (To B)']",https://www.zhipin.com/job_detail/6a1bebc1981976311HN92du-EVFR.html,
23,23,3,MindFlow,Product Manager,"Salary is negotiable~Job responsibilities1. Responsible for the implementation of annotation platform tool products, and improve the efficiency and quality of autonomous driving 3D/4D data annotation by optimizing tool modes, processes, and operations2. Responsible for combining AI capabilities with annotation tools, paying attention to market trends in the annotation industry, analyzing the pros and cons of competing products, and continuously creating products with core competitiveness3. In-depth business scenarios, insight into industry pain points and annotation/acceptance needs, and collaborative upstream and downstream to promote product iterative development4. Pursue the ultimate experience of annotation and acceptance, be responsible for efficiency and ease of use, track the entire process and continue to polishJob requirements1.985/211 undergraduate degree or above, computer, software engineering, design and related majors preferred2.2 years or more of ToB product experience, with tool product experience preferred.3. Have a clear logical thinking framework, be sensitive to business data, and be good at analyzing the truth and core causes behind the problem4. Have a keen understanding of user behavior and business processes, and have the insight and judgment to discover problems. 5. Strong initiative, able to work with goals and results in a self-driven manner 6. Excellent cross-team collaboration ability, able to coordinate business, technology, and algorithm teams to achieve business results Bonus points Background in artificial intelligence and new energy related industries Experience in annotation tools or design related tool products",18-30K·15 salary,"['Beijing', '1-3 years', 'Undergraduate']","Room 815, Building 1A, Block 1A, Wangjing SOHO T1A, Chaoyang District, Beijing","['B-end products', 'Marking products', 'Design products', 'Tool products']",https://www.zhipin.com/job_detail/d3954d54f96cc5df1HB729W6GVdX.html,
