,Unnamed: 0,index,company,title,description,salary,tags,location,labels,link
10,28,8,Magic Data,AI Solutions Engineer,"We are looking for an AI Solutions Engineer to provide professional AI solutions to overseas customers. As an AI Solutions Engineer, you play a vital role in the growth and development of new and existing customer relationships. One of your main responsibilities is to act as a liaison between customers and our AI data team, focusing on facilitating a smooth purchasing process. Job Responsibilities: 1. Sell data set products and data service solutions; 2. Build, develop and manage customer relationships; 3. Facilitate the purchase process with each customer; 4. Develop and implement effective sales strategies for new customers, including cold calls and on-site customer visits; 5. Provide technical support to customers; 6. Communicate with customers regularly to discuss their specific needs, make suggestions, and solve service problems; 7. Work with data project managers and engineers to help define project requirements; Job Requirements: 1. Bachelor's degree or above in artificial intelligence or other fields; 2. 1 year or more of work experience in the artificial intelligence industry, fluent in English; 3. Knowledge of artificial intelligence and familiarity with data; 4. Excellent written, oral communication and public speaking skills (including but not limited to Chinese and English); 5. Excellent organizational skills and time management skills; About Magic Data Beijing Qingshu Wisdom Technology Co., Ltd. (Magic Data) is mainly engaged in the collection and annotation services of artificial intelligence data services and the sales of data sets. The company is headquartered in Beijing, has a data processing center in China, and a wholly-owned subsidiary in Hong Kong. Magic Data is committed to providing customers with multi-dimensional, high-precision and reliable data. The data revolves around five forward-looking dimensions: coverage, multidimensionality, timeliness, high accuracy and regulatory compliance characteristics to ensure the overall needs of customers for structured data. Magic Data has contractors covering 50 major languages ​​used around the world. Our major customers include but are not limited to corporate groups around the world, including insurance finance, AIoT, social media and electric vehicle manufacturers.",15-30K,"['北京', '1-3年', '本科']","Room 501, 5th Floor, Building G, Haidian Cultural and Educational Industrial Park, Haidian District, Beijing","['Deep learning', 'Speech algorithm', 'Big data processing tools (Spark/Hadoop/Hive)', 'Algorithm engineering experience']",https://www.zhipin.com/job_detail/4538a83dfcaa9fe21XB529S_GVNW.html
11,31,11,Magic Data,ASR Project Intern,"Job Description: 1. Assist in the organization and coordination of all aspects of the voice TTS annotation project. 2. Assist in docking projects with customers, understand project requirements, sort out specifications, and conduct training management. 3. Follow up on project progress and answer questions from annotators. 4. Quality inspection and acceptance of annotators' output data to meet the quality and duration requirements of the project 5. Monthly statistics of workload and completion of project settlement. Job Requirements: 1. Bachelor degree or above, excellent English, and English communication skills are preferred. 2. Excellent text reading comprehension skills and sensitive thinking. 3. Good stress resistance, optimistic, positive, strong self-motivation and career development plan, and good at communicating with people. 4. Proficient in using office software such as excel and word, and have a fast learning ability for new tools. 5. Good professional ethics and professional conduct, good at communication and coordination, and good sense of teamwork.",190-200元/天,"['北京', '4天/周 2个月', '学历不限']","Room 501, 5th Floor, Building G, Haidian Cultural and Educational Industrial Park, Haidian District, Beijing","['Part-time job', 'Office job']",https://www.zhipin.com/job_detail/e3994119f412c77b1X1_29i-EVBY.html
12,33,13,Magic Data,Project Manager/Project Supervisor,"Job content: 1. Manage the project team, ensure the normal operation of the team, coordinate and solve problems in the project and the work of the project manager and team leader. 2. Ensure the delivery of all task types. 3. Ensure that the delivery of all task annotation data (intra-group delivery efficiency and quality pass rate) meets project requirements. 4. Improve the cohesion of the jurisdiction team. Job requirements: 1) Bachelor degree or above, with team management experience. 2) Have good professional ethics and professional conduct, good at communication and coordination, good teamwork awareness, high sensitivity and certain judgment ability. 3) Strong sense of responsibility, meticulous and conscientious work, organized and thoughtful, able to calmly deal with emergencies and properly report and coordinate. Note: This position is more management-oriented and the work location is Luoyang. Bonus points include experience in the following industries: Big data·Internet·Communication/network equipment",4-6K,"['洛阳', '1-3年', '本科']","Room 905, Building 6, Area A, Luoyang Hengsheng Technology Park, Luolong District, Luoyang","['Responsibility', 'Experience in medium and large software project management', 'Team management', 'Non-technical project management', 'Experience in big data project management']",https://www.zhipin.com/job_detail/35bffd88b359b2551XB839W6ElRT.html
13,36,16,Magic Data,Project Intern (Dialect Acceptance),"Job content: 1. Inspection and acceptance of Minnan dialect and Hakka dialect; 2. Working time: at least 2 months. Project requirements: 1. Able to understand Minnan dialect and Hakka dialect; 2. Can work online or offline; 3. Salary 200 yuan/day. If it is online work, as long as you can complete the quantitative tasks of the day.",190-200元/天,"['北京', '3天/周 2个月', '学历不限']","5th Floor, Building G, Cultural and Educational Industrial Park, No. 44, North Third Ring Road, Haidian District, Beijing","['Taiwanese dialect', 'Hokkien', 'Hakka']",https://www.zhipin.com/job_detail/6ba2f59457d15bf61HB43t69F1RY.html
14,38,18,Magic Data,Dialect Acceptance Intern,"1. Acceptance of Minnan dialect and Shaanxi Xi'an dialect 2. At least 2 people are required 3. Mainly to check whether the text and audio are consistent 4. Careful and responsible are preferred 5. Start time: Start this week, at least 3-4 days a week",170-180元/天,"['北京', '3天/周 2个月', '学历不限']","Room 501, 5th Floor, Building G, Haidian Cultural and Educational Industrial Park, Haidian District, Beijing",['part time'],https://www.zhipin.com/job_detail/096fcc83839fe3d21XJ52d24ElFT.html
15,40,0,Data Hall,Marking quality inspector,"1. Proficient in the rules of various data annotation projects and the use of annotation tools, and be able to complete the annotation work of various projects with high quality according to the specific requirements of the project; 2. Record and feedback the problems in the annotation process, adjust the annotation method and improve the annotation rules according to the opinions and acceptance results of the demander; 3. Responsible for the splitting and release of data annotation tasks, monitor the progress of the project and production efficiency, timely report the progress and maintain relevant data reports; 4. Merge or organize the annotation results as required, and analyze the annotation results and acceptance opinions; 5. Regularly summarize, and propose optimization suggestions for the annotation platform or project efficiency improvement plans based on your own experience and user feedback; 6. Complete the delivery of qualified data within the required period and be responsible for the results. Job requirements: 1. Have experience in 3D point cloud annotation, be sensitive to specific content, images and other data, and be able to identify the classification characteristics of data content; 2. Be able to complete the effect evaluation of each model according to specific standards; 3. Those with data annotation experience and understanding of the basic principles of machine learning are preferred, and those who have been exposed to and learned Linux system related commands are preferred; 4. Actively learn, communicate smoothly, and be able to quickly and proficiently master various discrimination standards; 5. Full-time college degree or above.",3-4K,"['保定', '经验不限', '大专']",Baoding Lianchi District Baoding Lianchi District Double Innovation Base,"['Full-time job', 'Annotation method optimization', 'Annotation result spot check', 'Annotation result sorting', 'Image annotation', 'Text annotation', 'Region annotation', 'Point annotation', 'Classification annotation', 'Strong data analysis ability']",https://www.zhipin.com/job_detail/5c09df711f4adb491XJz3dm1FVFY.html
16,43,3,Data Hall,Operations Engineer,"Job Description: Responsible for and participate in the deployment, operation and maintenance of the company's platform, database and various middleware, involving multiple scale servers, ensuring server stability and availability. Job Requirements: 1. Proficient in the configuration, management and optimization of the Linux operating system, and able to independently troubleshoot and solve various problems at the operating system layer; 2. Master the deployment of nginx, kafka, zabbix, docker, MongoDB, zookeeper, Samba, etc., and have practical deployment experience; 3. Familiar with MySQL database maintenance; 4. Can write simple Python scripts, understand Java, and have good system performance optimization and troubleshooting capabilities; 5. Assist in writing project-related documents; 6. Assist the project manager to complete project management work and promote project acceptance; 7. This position requires business travel;",7-10K,"['合肥', '1-3年', '大专']","12th Floor, Artificial Intelligence Building, Building D, Phase IV, International E-commerce Industrial Park, Shushan District, Hefei","['Linux', 'Python', 'Java', 'Server Configuration', 'Container Technology', 'Distributed Technology', 'Nginx', 'Docker']",https://www.zhipin.com/job_detail/dd888fa0f8d483df1nZ83N21GFVQ.html
17,46,6,Data Hall,Marketing Operations Intern,"Job Responsibilities: 1. Assist in the daily operation of Datatang's overseas cooperation platform. 2. Assist in the writing and sending of development letters to overseas customers, including data monitoring and analysis. 3. Responsible for the design and production of some advertising materials. 4. Other tasks assigned by the leader. Qualifications: 1. Undergraduate/graduate students, with a background in studying abroad preferred, and journalism/marketing majors preferred. 2. Excellent English listening, speaking, reading and writing skills, and solid writing skills. 3. Serious and proactive, with strong logical and structured thinking, digital thinking, good communication skills, teamwork skills, and adaptability. 4. Candidates with excellent internship performance can be converted to regular employees.",200-250元/天,"['北京', '4天/周 3个月', '本科']","1st-4th Floor, Datatang (Beijing) Technology Co., Ltd., Haidian District, Beijing","['Content production and operation', 'Pictures and text', 'Does not accept home office', 'Company publicity']",https://www.zhipin.com/job_detail/735ae78d7dd1a91b1HB42Nm_GVNW.html
18,48,8,Data Hall,"Part-time French in Quebec, Canada","Work cycle: long-term part-timeWorking period per week: 2-3 daysWorking hours: unlimitedWorking period: unlimitedSettlement method: settlement after completionRecruitment deadline: 2024-07-12Part-time job: Online quality inspection of Quebec French. Job content: 1. According to the specifications, transcribe the voice content into language text2. According to the specifications, intercept the voice into sentences to judge the noise, effectiveness and other attributes, and operate according to the specifications. Job requirements: 1. The accuracy of the transcribed words must be 98% or above2. The accuracy of the label attributes must reach 85% or aboveWorking hours: flexible and you can work according to your own time every day. You can work part-time online at home and use the company platform for training.Salary: 120 yuan/effective hourSettlement method: Settlement on a monthly basis based on the data accepted by the customer",120-150元/时,"['深圳', '经验不限', '大专']","Room 803, Building 3, Phase II, Sunshine Yuehai Garden, No. 3818, Baishi Road, Yuegui Community, Yuehai Street, Nanshan District, Shenzhen, Guangdong Province",['part time'],https://www.zhipin.com/job_detail/9d47c1baf2efd3051HF83tu9EVdV.html
19,51,11,Data Hall,Norwegian translation,"Part-time job: Online quality inspection of Norwegian. Job content: 1. According to the specifications, transcribe the speech content into language text 2. According to the specifications, intercept the speech into sentences to judge the noise, effectiveness and other attributes, and operate according to the specifications. Job requirements: 1. The accuracy of the transcribed words must be 98% or above 2. The accuracy of the label attributes must reach 85% or above Working hours: Flexible and can work according to your own time every day. You can work part-time online at home and use the company platform for training. Salary: 120 yuan/effective hour Settlement method: Settlement on a monthly basis based on the data accepted by the customer",4-8K,"['深圳', '经验不限', '学历不限']","Room 803, Building 3, Phase II, Sunshine Yuehai Garden, No. 3818, Baishi Road, Yuegui Community, Yuehai Street, Nanshan District, Shenzhen, Guangdong Province","['Part-time job', 'No need to work']",https://www.zhipin.com/job_detail/74a330a48028f1b21HJ-39i6FVVX.html
20,54,14,Data Hall,Operations Engineer,"Job Description: Responsible for and participate in the deployment, operation and maintenance of the company's platform, database and various middleware, involving multiple scale servers, ensuring server stability and availability. Job Requirements: 1. Proficient in the configuration, management and optimization of the Linux operating system, and able to independently troubleshoot and solve various problems at the operating system layer; 2. Master the deployment of nginx, kafka, zabbix, docker, MongoDB, zookeeper, Samba, etc., and have practical deployment experience; 3. Familiar with MySQL database maintenance; 4. Can write simple Python scripts, understand Java, and have good system performance optimization and troubleshooting capabilities; 5. Assist in writing project-related documents; 6. Assist the project manager to complete project management work and promote project acceptance;",7-10K,"['南昌', '1-3年', '大专']","No. 1588, Yingbin North Avenue, State Grid, Qingyunpu District, Nanchang, State Grid Jiangxi Electric Power Company, Electric Power Economics and Technology Research Institute","['Linux', 'Python', 'Java', 'Server Configuration', 'Container Technology', 'Distributed Technology', 'Nginx', 'Docker']",https://www.zhipin.com/job_detail/3602243ad3fb9dc61nZy3t64EVZU.html
21,57,17,Data Hall,Korean Sales Manager,"Job Responsibilities: 1. According to market conditions, develop domestic and foreign artificial intelligence big data markets; 2. Independently complete the company's data collection, sales of annotation products, and participate in the negotiation and signing of contracts; 3. Maintain existing old customer relationships, explore customer needs, and promote new orders; 4. Understand customer status, timely update, maintain, and analyze customer data; 5. Responsible for the tracking and delivery of customer orders, and handle after-sales issues. Job requirements: 1. Full-time undergraduate degree or above, computer and management related majors are preferred; those with overseas study background are preferred. 2. 1-3 years of sales experience, understanding of the Internet data industry, high acceptance of new things, and strong learning ability. 3. Have excellent problem-solving and communication skills; 4. Have the ability to independently expand into new areas and have momentum; 5. Strong sales development capabilities and a certain ability to withstand pressure. 6. TOPIK6, those with work experience in the automotive industry are preferred",15-25K,"['北京', '1-3年', '本科']","1st-4th Floor, Datatang (Beijing) Technology Co., Ltd., Haidian District, Beijing",['Korean'],https://www.zhipin.com/job_detail/c50a276ccaad62711HF_2di6EFVW.html
22,60,0,MindFlow,Key Account Sales Assistant,"[Job Responsibilities] 1. Customer relationship management, establish and maintain long-term cooperative relationships with customers, and promote customer renewal and additional purchases by providing high-value services; 2. Accurately identify and understand customer needs, and collect and analyze customer needs and feedback to form solutions; 3. Daily maintenance of customers, including consulting follow-up, problem handling, training and improvement, knowledge base summary and other support services; 4. Establish customer files, gain insight into the customer life cycle, and provide corresponding support for customers at different stages; 5. Organize and update technical manuals and other implementation documents, organize, mine and publicize typical customer cases. [Job Requirements] 1. Full-time unified enrollment with a bachelor's degree or above, 1-3 years of B-side business experience, those with autonomous driving background and customer success experience are preferred; 2. Clear thinking, strong logic, goal orientation, strong learning ability and research spirit; 3. Have keen market insight, good at discovering and analyzing industries, and understand industry development trends; 4. Be passionate about work and have an entrepreneurial spirit, and be able to withstand the pressure of rapid business expansion.",10-15K·15薪,"['北京', '1-3年', '本科']","Room 815, Building 1A, Block 1A, Wangjing SOHO T1A, Chaoyang District, Beijing","['Internet/Tech', 'Automobile', 'Communication Skills', 'Enterprise (To B)', 'Assist in developing new customers', 'Assist in maintaining customer relationships', 'Sales experience to institutions (To B)']",https://www.zhipin.com/job_detail/6a1bebc1981976311HN92du-EVFR.html
23,63,3,MindFlow,Manfu Technology is recruiting supply chain specialists,"Job Responsibilities1. Find and develop suitable suppliers in accordance with the company's supplier development management process2. Responsible for supplier performance evaluation and classification and grading management3. Responsible for the construction and maintenance of the supplier pool, and complete the matching of supplier resources according to the business4. Responsible for combining the supply and demand market, conducting price and cost research, and promoting the cost optimization of the business systemParticipate in the functional design of the supplier management system required by the above supplier managementJob Requirements1. Bachelor degree or above2. 3 years or more of cross-category supplier management experience in the Internet industry3. Those with experience in building supplier management systems are preferred.4. Sensitive to data, good at obtaining business changes from data changes and proficient in using data analysis tools;5. Have experience, understanding and enthusiasm for Internet products;6. Accept short-term business trips, about a week is preferred: at least 1 year of sourcing and procurement experience in artificial intelligence fields such as data labeling and collection, and with collection and labeling team resourcesOriginal title: ""Supply Chain Specialist""",9-14K·16薪,"['北京', '1-3年', '本科']","Room 0815, Block 1A, Wangjing SOHO, Chaoyang District, Beijing","['Good English skills', 'Experience in medium to large supply chain management']",https://www.zhipin.com/job_detail/ff810c736dbf45081HJ_39q4EVBQ.html
24,66,6,MindFlow,Product Manager,"Job Responsibilities1. Develop the company's strategic plan with the management team, and promote the company to become the industry's TOP1 within 3 years, with a market share of over 70%;2. According to the company's strategy and industry development trends, the management team develops AI product planning and implementation;3. Continuously explore user needs for product innovation, coordinate internal and external resources to promote product function realization and continuous iteration;4. Responsible for product life cycle management, product market competition analysis, and new product project management. Job Requirements1. Full-time undergraduate or above, 985&211 undergraduate or above;2. Have an extremely sensitive business sense, and know the development history and competitive strategies of technology companies;3. Pay close attention to business data and be good at adjusting product strategies by analyzing business data;4. More than 3 years of experience in Internet data platform products or scheduling platform development related work experience;5. Familiar with the process and details of SAAS product and middle-end product design and development;6. Proficient in product prototypes, flow charts, mind maps and other related tools, and proficient in SQL;7. Good product analysis and design ideas, strong logical analysis ability, excellent cross-departmental communication ability, excellent rapid learning ability, and excellent execution;Preferred conditions:1. Have relevant work experience or work cases in the field of artificial intelligence products; [We provide you with] 1. Professional and systematic training mechanism: new employee training + department training + management training + job skills training; 2. Your benefits: paid annual leave + irregular dinners + holiday benefits + birthday parties + performance bonuses; 3. A happy working environment, an office environment with a strong learning culture, and a team of partners with a high talent density; 4. Convenient transportation conditions, Wangjing SOHO is very convenient for shopping and eating.",20-40K·18薪,"['北京', '3-5年', '本科']","Room 0815, Block 1A, SOHOT, Wangjing, Chaoyang District, Beijing","['Functional products', 'Strategic products', 'AI products', 'Platform products', 'SAAS products', 'B-end products', 'Market research', 'Product planning']",https://www.zhipin.com/job_detail/cf1d95af6ce8b2cc1XR72Nm8FFRU.html
25,69,9,MindFlow,Operations Engineer,"Job Responsibilities: 1. Responsible for the deployment, monitoring, and operation and maintenance of the local Docker/K8S virtualization platform; 2. Responsible for the daily operation and maintenance of various cloud services in the public cloud. The scope of cloud services includes: basic services such as computing, storage, containers, virtual networks, and advanced services such as PAAS, EI, AI, and global services. 3. Participate in the development of operation and maintenance automation scripts, and actively realize container operation and maintenance automation; 4. Write and continuously improve system operation and maintenance manuals, deployment documents, and performance parameter descriptions; 5. Emergency response and technical support for various faults and transactions. Job Requirements: 1. Bachelor degree or above from a full-time regular college, majoring in computer, software, communication, information, etc.; 2. More than 3 years of operation and maintenance experience in large-scale complex production environments; 3. In-depth understanding of Linux systems and optimization, proficient in shell/python; Priority conditions: 1. Those with experience in well-known Internet companies;",11-16K·15薪,"['杭州', '3-5年', '本科']","Room 1202, 12th Floor, Liaison Building, Binjiang District, Hangzhou","['Docker', 'Operation and development experience', 'Operation and maintenance experience']",https://www.zhipin.com/job_detail/93dabab5fb75ca701HNz0ty0FVdV.html
26,72,12,MindFlow,Intermediate and senior test engineers,"Job Responsibilities: 1. Participate in the whole process of Manfu's related business platform testing, including participating in demand analysis, design review, formulating test plans, designing and executing test cases, conducting defect tracking and software quality analysis, etc.; 2. Weave software test reports and evaluate quality; 3. Formulate test processes and related standards; Job Requirements: 1. Bachelor degree or above from a full-time regular college, majoring in computer, software, communication, information and other related majors; 2. More than 2-3 years of testing experience (excluding internship), not outsourced; 3. Proficient in at least one programming language such as python, shell, go, java, and familiar with Linux system; 4. Strong self-drive and management ability in the face of work goals, passion and responsibility, excellent team communication and collaboration skills, and treat work and colleagues with an open mind, humility and a positive and optimistic attitude; Preferred Conditions: 1. Experience in annotated page testing 2. Experience in medium and large distributed system testing is preferred; 3. Experience in interface and UI automation testing is preferred; 4. Experience in working in well-known Internet companies;",11-16K·15薪,"['北京', '1-3年', '本科']","Room 815, Building 1A, Block 1A, Wangjing SOHO T1A, Chaoyang District, Beijing","['Automated testing', 'Functional testing', 'Performance testing', 'Testing experience', 'Automated testing experience']",https://www.zhipin.com/job_detail/527e1e12ef9e095f1HR-0tm_E1ZW.html
